pokedex_id,sprite,pokemon_name,pokemon_weight,pokemon_height,speed,special_defense,special_attack,defense,attack,hp,pokemon_type1,pokemon_type2,base_hapiness,color_group,egg_group,generation,shape
1,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png"" width=""60"" >",bulbasaur,69.0,7.0,45.0,65.0,65.0,49.0,49.0,45.0,poison,grass,70.0,green,plant,generation-i,quadruped
2,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png"" width=""60"" >",ivysaur,130.0,10.0,60.0,80.0,80.0,63.0,62.0,60.0,poison,grass,70.0,green,plant,generation-i,quadruped
3,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png"" width=""60"" >",venusaur,1000.0,20.0,80.0,100.0,100.0,83.0,82.0,80.0,poison,grass,70.0,green,plant,generation-i,quadruped
4,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png"" width=""60"" >",charmander,85.0,6.0,65.0,50.0,60.0,43.0,52.0,39.0,fire,,70.0,red,dragon,generation-i,upright
5,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png"" width=""60"" >",charmeleon,190.0,11.0,80.0,65.0,80.0,58.0,64.0,58.0,fire,,70.0,red,dragon,generation-i,upright
6,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png"" width=""60"" >",charizard,905.0,17.0,100.0,85.0,109.0,78.0,84.0,78.0,flying,fire,70.0,red,dragon,generation-i,upright
7,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png"" width=""60"" >",squirtle,90.0,5.0,43.0,64.0,50.0,65.0,48.0,44.0,water,,70.0,blue,water1,generation-i,upright
8,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png"" width=""60"" >",wartortle,225.0,10.0,58.0,80.0,65.0,80.0,63.0,59.0,water,,70.0,blue,water1,generation-i,upright
9,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png"" width=""60"" >",blastoise,855.0,16.0,78.0,105.0,85.0,100.0,83.0,79.0,water,,70.0,blue,water1,generation-i,upright
10,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png"" width=""60"" >",caterpie,29.0,3.0,45.0,20.0,20.0,35.0,30.0,45.0,bug,,70.0,green,bug,generation-i,armor
11,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png"" width=""60"" >",metapod,99.0,7.0,30.0,25.0,25.0,55.0,20.0,50.0,bug,,70.0,green,bug,generation-i,squiggle
12,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png"" width=""60"" >",butterfree,320.0,11.0,70.0,80.0,90.0,50.0,45.0,60.0,flying,bug,70.0,white,bug,generation-i,bug-wings
13,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png"" width=""60"" >",weedle,32.0,3.0,50.0,20.0,20.0,30.0,35.0,40.0,poison,bug,70.0,brown,bug,generation-i,armor
14,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png"" width=""60"" >",kakuna,100.0,6.0,35.0,25.0,25.0,50.0,25.0,45.0,poison,bug,70.0,yellow,bug,generation-i,squiggle
15,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png"" width=""60"" >",beedrill,295.0,10.0,75.0,80.0,45.0,40.0,90.0,65.0,poison,bug,70.0,yellow,bug,generation-i,bug-wings
16,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png"" width=""60"" >",pidgey,18.0,3.0,56.0,35.0,35.0,40.0,45.0,40.0,flying,normal,70.0,brown,flying,generation-i,wings
17,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png"" width=""60"" >",pidgeotto,300.0,11.0,71.0,50.0,50.0,55.0,60.0,63.0,flying,normal,70.0,brown,flying,generation-i,wings
18,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png"" width=""60"" >",pidgeot,395.0,15.0,101.0,70.0,70.0,75.0,80.0,83.0,flying,normal,70.0,brown,flying,generation-i,wings
19,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png"" width=""60"" >",rattata,35.0,3.0,72.0,35.0,25.0,35.0,56.0,30.0,normal,,70.0,purple,ground,generation-i,quadruped
20,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png"" width=""60"" >",raticate,185.0,7.0,97.0,70.0,50.0,60.0,81.0,55.0,normal,,70.0,brown,ground,generation-i,quadruped
